year,artist_name,artist_id,explicit,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature,dim_1,dim_2,hcpc_pca_cluster,hcpc_cluster,k_cluster
1963,Rolf Harris,50KLYZQtZLrR2gGa5oHJEF,FALSE,Tie Me Kangaroo Down Sport,7teHkhuaqXUFq2tyZ8YO4G,0.712,0.451,9,-14.916,1,0.516,0.695,0,0.164,0.638,93.457,audio_features,spotify:track:7teHkhuaqXUFq2tyZ8YO4G,https://api.spotify.com/v1/tracks/7teHkhuaqXUFq2tyZ8YO4G,https://api.spotify.com/v1/audio-analysis/7teHkhuaqXUFq2tyZ8YO4G,162533,4,-0.648463387015,2.200286741332202,1963_2,1963_2,1963_3
1963,The Miracles,6TqQLejnHXMGr7KcegxUND,FALSE,Mickey's Monkey,0N0ljZly0jkZBIVvm90kpn,0.811,0.862,0,-5.369,0,0.0333,0.103,0.0263,0.309,0.903,94.664,audio_features,spotify:track:0N0ljZly0jkZBIVvm90kpn,https://api.spotify.com/v1/tracks/0N0ljZly0jkZBIVvm90kpn,https://api.spotify.com/v1/audio-analysis/0N0ljZly0jkZBIVvm90kpn,165120,4,2.947215457864349,0.46173438832420877,1963_3,1963_2,1963_3
1963,Dion,15FyiY3ChN0QRspHIQYq0W,FALSE,Donna the Prima Donna,5d75IQ8avLzit0XeeddeUe,0.358,0.654,6,-7.729,0,0.0373,0.606,1.02e-6,0.46,0.932,137.005,audio_features,spotify:track:5d75IQ8avLzit0XeeddeUe,https://api.spotify.com/v1/tracks/5d75IQ8avLzit0XeeddeUe,https://api.spotify.com/v1/audio-analysis/5d75IQ8avLzit0XeeddeUe,167573,4,0.9995182363440565,1.588878008990484,1963_2,1963_2,1963_3
1963,Nat King Cole,7v4imS0moSyGdXyLgVTIV7,FALSE,"That Sunday, That Summer - 1999 Digital Remaster",7ntoFNKLPggMM1E13GdffZ,0.386,0.258,1,-15.836,1,0.0333,0.818,0,0.272,0.479,81.92,audio_features,spotify:track:7ntoFNKLPggMM1E13GdffZ,https://api.spotify.com/v1/tracks/7ntoFNKLPggMM1E13GdffZ,https://api.spotify.com/v1/audio-analysis/7ntoFNKLPggMM1E13GdffZ,192200,4,-2.7136163406328366,-0.17551985227357195,1963_1,1963_2,1963_3
1963,Sam Cooke,6hnWRPzGGKiapVX1UCdEAC,FALSE,Another Saturday Night,4Iy6HzMy5aA1Jjq5GMgpMW,0.778,0.64,9,-7.843,1,0.0536,0.496,0,0.0968,0.97,123.04,audio_features,spotify:track:4Iy6HzMy5aA1Jjq5GMgpMW,https://api.spotify.com/v1/tracks/4Iy6HzMy5aA1Jjq5GMgpMW,https://api.spotify.com/v1/audio-analysis/4Iy6HzMy5aA1Jjq5GMgpMW,159987,4,1.4593826800843814,-0.6608929943442579,1963_3,1963_2,1963_3
1963,Al Martino,7egNqIGRldMzifHoh8pib6,FALSE,"Painted, Tainted Rose - Digitally Remastered 91",5f4LwMkyw5ldc4TCrvDoy6,0.348,0.309,7,-13.268,1,0.0288,0.58,3.85e-6,0.334,0.431,103.603,audio_features,spotify:track:5f4LwMkyw5ldc4TCrvDoy6,https://api.spotify.com/v1/tracks/5f4LwMkyw5ldc4TCrvDoy6,https://api.spotify.com/v1/audio-analysis/5f4LwMkyw5ldc4TCrvDoy6,167867,4,-2.1228926049730106,0.3706099652750281,1963_1,1963_2,1963_3
1963,Dixie Belles,4hJS67dIMP9WRprPjQTIaC,FALSE,(Down At) Papa Joe's,2DsxvRs4dy4hqivGK2MR56,0.467,0.881,7,-5.838,1,0.106,0.121,0.0438,0.341,0.605,168.061,audio_features,spotify:track:2DsxvRs4dy4hqivGK2MR56,https://api.spotify.com/v1/tracks/2DsxvRs4dy4hqivGK2MR56,https://api.spotify.com/v1/audio-analysis/2DsxvRs4dy4hqivGK2MR56,155413,4,2.007156529951343,1.2680335737176638,1963_2,1963_2,1963_3
1963,Steve Lawrence,271pvVqDFiREx6PqzwOX8p,FALSE,Go Away Little Girl,1UGmJZGp99zNRCa4WsJMLK,0.375,0.335,0,-11.819,1,0.0314,0.565,1.39e-6,0.194,0.555,108.209,audio_features,spotify:track:1UGmJZGp99zNRCa4WsJMLK,https://api.spotify.com/v1/tracks/1UGmJZGp99zNRCa4WsJMLK,https://api.spotify.com/v1/audio-analysis/1UGmJZGp99zNRCa4WsJMLK,134133,4,-1.137309610713356,-1.039532583006782,1963_1,1963_1,1963_1
1963,Ray Charles,1eYhYunlNJlDoQhtYBvPsi,FALSE,Take These Chains From My Heart,0xo1Q9Lgpm6TNhBegseVBm,0.437,0.179,5,-10.548,1,0.0302,0.833,0,0.138,0.456,102.949,audio_features,spotify:track:0xo1Q9Lgpm6TNhBegseVBm,https://api.spotify.com/v1/tracks/0xo1Q9Lgpm6TNhBegseVBm,https://api.spotify.com/v1/audio-analysis/0xo1Q9Lgpm6TNhBegseVBm,176120,4,-2.164198975293064,-0.3322425143532074,1963_1,1963_2,1963_3
1963,Sunny & The Sunglows,0s4lAMIrmAdSrf8TPfU13O,FALSE,Talk To Me,1t7XM85zHaDGDjkYlxmPjv,0.431,0.5,7,-7.053,1,0.0318,0.802,9.87e-6,0.34,0.581,123.375,audio_features,spotify:track:1t7XM85zHaDGDjkYlxmPjv,https://api.spotify.com/v1/tracks/1t7XM85zHaDGDjkYlxmPjv,https://api.spotify.com/v1/audio-analysis/1t7XM85zHaDGDjkYlxmPjv,165053,3,-1.131344845242404,0.2650188700341354,1963_1,1963_2,1963_3
