"","album_year_4dgt","danceability_avg","energy_avg","key_avg","loudness_avg","mode_avg","speechiness_avg","acousticness_avg","instrumentalness_avg","liveness_avg","valence_avg","tempo_avg"
"21",1980,0.536524499629355,0.53098509414381,5.1286137879911,-12.0095693106004,0.737583395107487,0.0731417346182357,0.403595032205337,0.155941097164566,0.219437064492216,0.576793550778354,121.493642698295
"22",1981,0.540226737160121,0.539358678247734,5.19335347432024,-11.9643995468278,0.746978851963746,0.0688324773413897,0.392093252696375,0.140502057303625,0.220429380664653,0.58733002265861,121.340256797583
"23",1982,0.531795586571105,0.534995516786118,5.21840814786873,-12.0653628819313,0.738966427763108,0.0707465107506601,0.403103599728404,0.149107319234251,0.225797019992456,0.55672127499057,120.36042172765
"24",1983,0.537143691420332,0.525203767123288,5.20980533525595,-12.2500994953136,0.720259552992069,0.0762123287671233,0.389743277865898,0.161985730800288,0.219207746935833,0.559714023071377,121.194874549387
"25",1984,0.53391066241587,0.525746887353879,5.15479985830677,-12.5066726886291,0.702444208289054,0.0713633014523557,0.383961633634431,0.16241555575983,0.208960715550832,0.554825929861849,120.232134962806
"26",1985,0.529447986111111,0.5205251875,5.30694444444444,-12.6822996527778,0.717013888888889,0.0653117361111111,0.393524946361111,0.162897839704861,0.214909513888889,0.540761944444444,120.384958333333
"27",1986,0.526803686797753,0.527219598314607,5.22015449438202,-12.8563939606742,0.71313202247191,0.0663513693820225,0.384118624884129,0.16562297229986,0.214631074438202,0.542925561797753,118.371575491573
"28",1987,0.523505310693642,0.496305515895954,5.13692196531792,-13.5491893063584,0.707369942196532,0.0634240606936416,0.418801608190029,0.177492080187861,0.211159537572254,0.536162066473988,118.069774566474
"29",1988,0.527849438596491,0.501787170175439,5.25087719298246,-13.5360789473684,0.722456140350877,0.0695740350877193,0.403100413396491,0.173307636098246,0.208451905263158,0.526399228070175,117.504853684211
"30",1989,0.538792489673301,0.483147070972587,4.99211415696583,-13.7400503191889,0.71723619977469,0.0744631993991739,0.426682241126549,0.152124744449869,0.20228689447991,0.531564175741645,117.029907998498
"31",1990,0.535840344580043,0.480531945441493,5.2056712132089,-13.5234949748744,0.726489590811199,0.0740448671931084,0.435697551216798,0.17191812890524,0.220999964106246,0.521920926058866,118.107671213209
"32",1991,0.542977512473272,0.493681890698503,5.1208125445474,-12.9590206699929,0.733071988595866,0.0721925873129009,0.420969988738418,0.163814129975053,0.216014183891661,0.542225837491091,117.611917320029
